Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,Total
Aguascalientes,572,256,2,0,0,0,1,0,2,833
Baja California,855,560,38,16,0,0,21,7,235,1 732
Baja California Sur,534,25,87,0,0,0,8,0,0,654
Campeche,778,47,39,109,0,2,3,5,60,1 043
Coahuila,911,249,60,221,1,0,8,0,383,1 833
Colima,499,132,12,0,0,0,3,16,4,666
Chiapas,1 886,75,43,821,0,16,33,0,11,2 885
Chihuahua,2 916,280,35,338,0,0,5,0,439,4 013
Distrito Federal,15 870,1 067,1 007,0,17,168,69,23,77,18 298
Durango,2 374,76,56,285,0,0,3,0,0,2 794
Guanajuato,5 026,745,97,2,0,57,8,0,67,6 002
Guerrero,3 491,542,147,16,0,0,6,10,0,4 212
Hidalgo,4 055,132,61,348,32,39,0,0,30,4 697
Jalisco,3 797,2 238,24,0,1,1,19,2,1 006,7 088
México,16 651,727,240,1,185,0,61,0,585,18 450
Michoacán,3 544,252,95,662,0,0,0,8,0,4 561
Morelos,1 721,221,125,5,0,0,0,0,0,2 072
Nayarit,619,118,39,151,0,0,0,0,31,958
Nuevo León,1 957,684,23,0,2,36,3,0,1 583,4 288
Oaxaca,2 099,136,118,2 122,1,49,19,25,39,4 608
Puebla,8 726,939,138,895,2,7,5,0,311,11 023
Querétaro,937,416,55,0,0,0,0,0,4,1 412
Quintana Roo,1 292,386,63,0,0,0,0,3,0,1 744
San Luis Potosí,2 682,494,58,709,0,23,13,0,53,4 032
Sinaloa,1 042,140,66,292,29,0,5,10,386,1 970
Sonora,1 423,418,0,0,0,0,0,0,83,1 924
Tabasco,1 448,32,31,0,0,37,2,1,70,1 621
Tamaulipas,2 283,319,90,376,10,82,9,4,20,3 193
Tlaxcala,1 646,200,24,0,0,0,3,0,0,1 873
Veracruz,6 282,564,86,1 194,5,207,10,8,0,8 356
Yucatán,1 930,181,82,761,3,0,15,0,4,2 976
Zacatecas,847,100,32,335,2,0,5,0,0,1 321
TOTAL GLOBAL,100 693,12 751,3 073,9 659,290,724,337,122,5 483,133 132
