Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,Total
Aguascalientes,211,110,1,0,0,0,0,0,0,322
Baja California,498,382,28,3,0,0,9,5,85,1 010
Baja California Sur,234,15,21,0,0,0,0,0,0,270
Campeche,326,33,16,38,0,4,1,0,28,446
Coahuila,409,164,34,118,1,0,1,0,151,878
Colima,171,42,1,0,0,0,0,1,0,215
Chiapas,811,17,14,714,0,4,8,1,8,1 577
Chihuahua,1 025,190,34,125,0,0,1,0,71,1 446
Distrito Federal,5 772,443,400,0,4,62,39,7,45,6 772
Durango,896,58,24,110,1,0,0,0,0,1 089
Guanajuato,2 373,431,45,0,0,28,4,0,28,2 909
Guerrero,1 574,272,48,6,0,0,7,3,0,1 910
Hidalgo,1 918,36,27,147,13,23,0,0,4,2 168
Jalisco,1 437,999,25,1,0,1,2,0,168,2 633
MÃ©xico,7 755,378,131,3,82,0,21,0,246,8 616
MichoacÃ¡n,1 607,87,43,335,0,0,0,1,0,2 073
Morelos,728,69,32,0,0,0,0,0,0,829
Nayarit,251,40,15,68,2,0,0,0,7,383
Nuevo LeÃ_n,1 075,247,15,0,0,20,1,0,674,2 032
Oaxaca,989,96,73,1 279,1,24,20,12,17,2 511
Puebla,3 826,312,52,388,0,12,2,0,200,4 792
QuerÃ©taro,421,190,28,0,0,0,0,0,0,639
Quintana Roo,516,194,23,0,0,0,1,0,0,734
San Luis PotosÃ_,1 004,169,27,342,0,2,2,0,15,1 561
Sinaloa,490,81,37,129,6,0,3,2,129,877
Sonora,995,151,30,0,0,0,4,0,86,1 266
Tabasco,608,1,8,0,0,21,0,0,14,652
Tamaulipas,1 152,135,53,185,5,50,4,1,22,1 607
Tlaxcala,708,48,11,1,0,0,0,0,0,768
Veracruz,3 109,225,58,692,0,104,6,8,0,4 202
YucatÃ¡n,810,108,23,346,3,0,7,2,6,1 305
Zacatecas,288,30,8,146,1,0,1,0,0,474
TOTAL GLOBAL,43 987,5 753,1 385,5 176,119,355,144,43,2 004,58 966
