Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,Otras,Total
Aguascalientes,316,176,0,N.A.,0,N.A.,1,N.A.,2,495
Baja California,513,399,18,14,N.A.,N.A.,6,3,102,1 055
Baja California Sur,349,18,32,N.A.,N.A.,N.A.,2,1,N.A.,402
Campeche,290,31,27,57,0,17,2,1,50,475
Coahuila,541,452,31,159,2,N.A.,8,N.A.,126,1 319
Colima,156,63,4,N.A.,0,N.A.,1,5,0,229
Chiapas,772,14,40,321,N.A.,12,14,0,5,1 178
Chihuahua,1 329,83,22,163,N.A.,N.A.,4,N.A.,170,1 771
Distrito Federal,7 096,260,380,0,5,57,47,7,74,7 926
Durango,1 279,81,34,185,0,N.A.,2,N.A.,1,1 582
Guanajuato,2 702,551,39,0,N.A.,39,0,N.A.,60,3 391
Guerrero,1 494,445,36,1,N.A.,N.A.,8,0,0,1 984
Hidalgo,1 889,84,30,154,45,20,0,N.A.,10,2 232
Jalisco,2 112,931,28,0,0,0,3,0,345,3 419
MÃ©xico,7 693,355,93,0,93,N.A.,41,N.A.,358,8 633
MichoacÃ¡n,1 868,145,34,432,N.A.,N.A.,1,0,N.A.,2 480
Morelos,824,98,30,2,N.A.,N.A.,1,N.A.,N.A.,955
Nayarit,405,82,21,94,6,N.A.,0,0,13,621
Nuevo LeÃ_n,1 293,348,7,0,0,10,0,N.A.,640,2 298
Oaxaca,938,100,61,1 120,1,27,4,14,9,2 274
Puebla,3 902,385,58,415,0,9,7,N.A.,192,4 968
QuerÃ©taro,398,249,27,0,0,N.A.,N.A.,N.A.,2,676
Quintana Roo,606,211,38,N.A.,N.A.,N.A.,1,1,N.A.,857
San Luis PotosÃ_,1 478,300,23,327,N.A.,2,0,N.A.,4,2 134
Sinaloa,490,91,59,158,4,0,9,4,147,962
Sonora,1 388,155,29,0,N.A.,N.A.,12,2,135,1 721
Tabasco,620,8,4,N.A.,N.A.,79,0,0,34,745
Tamaulipas,1 122,172,51,185,10,42,16,1,25,1 624
Tlaxcala,693,62,4,1,0,N.A.,1,N.A.,0,761
Veracruz,2 906,274,46,635,1,131,3,19,N.A.,4 015
YucatÃ¡n,903,115,14,333,2,N.A.,6,0,3,1 376
Zacatecas,483,45,14,191,0,N.A.,1,N.A.,1,735
TOTAL GLOBAL,48 848,6 783,1 334,4 947,169,445,201,58,2 508,65 293
