Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,Otras,Total
Aguascalientes,221,93,1,N.A.,0,N.A.,0,N.A.,8,323
Baja California,462,306,24,26,N.A.,N.A.,4,1,107,930
Baja California Sur,204,36,29,N.A.,N.A.,N.A.,1,3,N.A.,273
Campeche,271,13,30,36,0,7,0,0,24,381
Coahuila,382,318,34,124,1,N.A.,5,N.A.,63,927
Colima,136,50,9,N.A.,0,N.A.,0,2,10,207
Chiapas,602,18,25,275,N.A.,14,4,1,11,950
Chihuahua,918,648,45,125,N.A.,N.A.,1,N.A.,112,1 849
Distrito Federal,4 964,204,408,0,5,80,21,13,88,5 783
Durango,713,36,13,119,0,N.A.,0,N.A.,0,881
Guanajuato,1 901,281,27,2,N.A.,26,1,N.A.,31,2 269
Guerrero,1 267,261,100,1,N.A.,N.A.,1,0,N.A.,1 630
Hidalgo,1 650,34,24,139,18,16,0,N.A.,7,1 888
Jalisco,1 498,621,27,0,0,0,0,1,206,2 353
MÃ©xico,6 325,260,138,0,112,N.A.,11,N.A.,165,7 011
MichoacÃ¡n,1 220,241,21,326,N.A.,N.A.,0,1,N.A.,1 809
Morelos,639,84,7,1,N.A.,N.A.,0,N.A.,N.A.,731
Nayarit,281,58,34,74,4,N.A.,0,0,5,456
Nuevo LeÃ_n,975,271,8,0,N.A.,16,1,N.A.,491,1 762
Oaxaca,1 033,54,60,1 075,0,37,1,11,6,2 277
Puebla,3 182,290,43,330,0,10,5,N.A.,200,4 060
QuerÃ©taro,342,199,34,0,0,N.A.,0,N.A.,1,576
Quintana Roo,417,144,34,N.A.,N.A.,N.A.,0,1,N.A.,596
San Luis PotosÃ_,1 096,241,36,342,N.A.,0,0,N.A.,2,1 717
Sinaloa,418,84,41,120,7,0,3,1,102,776
Sonora,1 074,136,18,1,N.A.,N.A.,3,1,109,1 342
Tabasco,452,9,10,N.A.,N.A.,51,0,0,25,547
Tamaulipas,960,98,36,112,3,104,4,0,7,1 324
Tlaxcala,523,40,13,0,0,N.A.,0,N.A.,0,576
Veracruz,2 327,253,56,494,2,115,0,6,N.A.,3 253
YucatÃ¡n,646,101,13,248,1,N.A.,3,1,6,1 019
Zacatecas,256,47,11,128,0,N.A.,0,N.A.,1,443
TOTAL GLOBAL,37 355,5 529,1 409,4 098,153,476,69,43,1 787,50 919
