Estado,Salud,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,Otras,Total
Aguascalientes,243,87,2,S/R,0,S/R,1,S/R,16,349
Baja California,404,278,24,19,S/R,S/R,0,0,83,808
Baja California Sur,175,24,21,S/R,S/R,S/R,16,2,S/R,238
Campeche,214,40,16,48,0,1,0,2,30,351
Coahuila,470,242,15,112,0,S/R,4,S/R,136,979
Colima,129,55,10,S/R,0,S/R,0,2,11,207
Chiapas,543,31,26,283,S/R,13,4,1,0,901
Chihuahua,1 096,365,44,101,S/R,S/R,0,S/R,146,1 752
Distrito Federal,4 305,281,358,1,2,86,23,3,82,5 141
Durango,647,51,6,104,0,S/R,0,S/R,1,809
Guanajuato,1 765,158,22,0,S/R,28,3,S/R,30,2 006
Guerrero,1 345,253,90,4,S/R,S/R,5,11,S/R,1 708
Hidalgo,1 355,60,16,137,16,9,0,S/R,3,1 596
Jalisco,1 437,784,17,0,0,0,3,0,230,2 471
MÃ©xico,5 790,274,96,0,116,S/R,14,S/R,158,6 448
MichoacÃ¡n,1 044,194,21,363,S/R,S/R,0,3,S/R,1 625
Morelos,604,85,23,2,S/R,S/R,0,S/R,S/R,714
Nayarit,262,75,24,90,8,S/R,0,0,2,461
Nuevo LeÃ_n,1 025,285,9,0,S/R,22,2,S/R,429,1 772
Oaxaca,914,41,73,1 138,1,16,0,16,18,2 217
Puebla,2 640,305,40,350,0,16,3,S/R,176,3 530
QuerÃ©taro,260,140,30,0,0,S/R,0,S/R,2,432
Quintana Roo,362,188,35,S/R,S/R,S/R,0,2,S/R,587
San Luis PotosÃ_,994,204,30,316,S/R,0,2,S/R,3,1 549
Sinaloa,387,98,34,90,1,0,2,1,122,735
Sonora,1 014,140,33,0,S/R,S/R,1,2,114,1 304
Tabasco,409,4,4,S/R,S/R,49,0,0,41,507
Tamaulipas,984,93,27,130,1,53,5,0,13,1 306
Tlaxcala,472,45,12,0,0,S/R,0,S/R,0,529
Veracruz,1 958,273,59,574,3,102,6,7,S/R,2 982
YucatÃ¡n,598,122,8,243,1,S/R,3,0,4,979
Zacatecas,289,39,17,100,2,S/R,2,S/R,0,449
TOTAL GLOBAL,34 134,5 314,1 242,4 205,151,395,99,52,1 850,47 442
