Estado,Salud,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,Otras,Total
Aguascalientes,642,240,5,S/R,0,S/R,2,S/R,25,914
Baja California,909,666,58,42,S/R,S/R,3,2,194,1 874
Baja California Sur,411,58,57,S/R,S/R,S/R,34,2,S/R,562
Campeche,442,76,31,106,0,2,0,6,65,728
Coahuila,1 036,654,34,270,0,S/R,13,S/R,380,2 387
Colima,293,132,18,S/R,0,S/R,0,5,23,471
Chiapas,1 211,66,72,638,S/R,25,7,1,0,2 020
Chihuahua,2 571,905,83,268,S/R,S/R,1,S/R,369,4 197
Distrito Federal,9 962,572,767,2,7,164,72,7,165,11 718
Durango,1 671,119,16,276,0,S/R,0,S/R,3,2 085
Guanajuato,4 216,382,57,0,S/R,49,9,S/R,86,4 799
Guerrero,2 912,614,199,4,S/R,S/R,10,30,S/R,3 769
Hidalgo,2 824,122,28,325,39,28,0,S/R,11,3 377
Jalisco,3 519,2 037,36,1,0,0,3,0,604,6 200
MÃ©xico,12 233,642,204,0,168,S/R,43,S/R,370,13 660
MichoacÃ¡n,2 410,486,50,799,S/R,S/R,2,11,S/R,3 758
Morelos,1 375,177,46,2,S/R,S/R,0,S/R,S/R,1 600
Nayarit,620,201,45,270,20,S/R,0,0,9,1 165
Nuevo LeÃ_n,2 365,686,25,0,S/R,34,4,S/R,944,4 058
Oaxaca,1 885,94,133,2 133,2,45,1,32,39,4 364
Puebla,5 513,669,87,697,0,29,7,S/R,350,7 352
QuerÃ©taro,611,340,54,0,0,S/R,0,S/R,3,1 008
Quintana Roo,870,408,79,S/R,S/R,S/R,5,6,S/R,1 368
San Luis PotosÃ_,2 252,525,63,688,S/R,0,2,S/R,9,3 539
Sinaloa,829,199,73,224,6,0,4,3,279,1 617
Sonora,2 366,330,53,0,S/R,S/R,2,6,227,2 984
Tabasco,888,11,13,S/R,S/R,96,0,1,73,1 082
Tamaulipas,2 022,203,49,272,4,112,6,1,21,2 690
Tlaxcala,985,96,21,0,0,S/R,0,S/R,0,1 102
Veracruz,4 106,563,109,1 225,3,211,15,22,S/R,6 254
YucatÃ¡n,1 277,246,23,601,3,S/R,7,1,6,2 164
Zacatecas,671,93,28,278,2,S/R,3,S/R,0,1 075
TOTAL GLOBAL,75 897,12 612,2 616,9 121,254,795,255,136,4 255,105 941
