Estado,Salud,IMSS-Ord,ISSSTE,IMSS-Op,DIF,PEMEX,SEDENA,SEMAR,Otras,Total
Aguascalientes,267,205,18,S.R.,0,S.R.,0,S.R.,12,502
Baja California,396,368,23,29,S.R.,S.R.,1,3,62,882
Baja California Sur,235,22,36,S.R.,S.R.,S.R.,0,0,S.R.,293
Campeche,228,53,17,45,0,11,0,2,29,385
Coahuila,438,298,23,92,0,S.R.,7,S.R.,192,1 050
Colima,164,102,7,S.R.,0,S.R.,0,5,7,285
Chiapas,565,40,33,198,S.R.,10,4,1,2,853
Chihuahua,729,476,47,111,S.R.,S.R.,2,S.R.,149,1 514
Distrito Federal,4 124,354,415,1,1,92,32,3,90,5 112
Durango,693,81,17,93,0,S.R.,1,S.R.,0,885
Guanajuato,1 990,223,36,0,S.R.,30,3,S.R.,17,2 299
Guerrero,960,298,97,2,S.R.,S.R.,3,6,0,1 366
Hidalgo,1 349,63,18,169,17,24,0,S.R.,9,1 649
Jalisco,1 562,783,33,0,0,0,2,0,409,2 789
MÃ©xico,5 560,450,85,9,178,S.R.,25,S.R.,278,6 585
MichoacÃ¡n,1 063,321,37,427,S.R.,S.R.,0,3,S.R.,1 851
Morelos,557,74,15,0,S.R.,S.R.,2,S.R.,S.R.,648
Nayarit,257,63,23,138,2,S.R.,0,1,2,486
Nuevo LeÃ_n,1 197,487,10,0,S.R.,28,0,S.R.,417,2 139
Oaxaca,759,42,77,1 216,1,25,9,15,15,2 159
Puebla,2 256,298,68,399,6,9,0,S.R.,181,3 217
QuerÃ©taro,328,160,42,2,0,S.R.,0,S.R.,7,539
Quintana Roo,360,227,69,S.R.,S.R.,S.R.,1,0,4,661
San Luis PotosÃ_,1 177,259,53,349,S.R.,4,0,S.R.,21,1 863
Sinaloa,542,149,63,117,2,1,2,8,120,1 004
Sonora,1 038,190,14,0,S.R.,S.R.,1,4,196,1 443
Tabasco,362,15,7,S.R.,S.R.,57,0,0,17,458
Tamaulipas,912,177,1,125,0,73,0,9,2,1 299
Tlaxcala,343,45,15,0,0,S.R.,0,S.R.,0,403
Veracruz,1 654,208,58,709,4,120,3,11,2,2 769
YucatÃ¡n,656,133,50,301,0,S.R.,3,0,11,1 154
Zacatecas,227,38,10,151,0,S.R.,4,S.R.,7,437
TOTAL GLOBAL,32 948,6 702,1 517,4 683,211,484,105,71,2 258,48 979
