Estado,Salud,IMSS-Ord,ISSSTE,IMSS-Op,DIF,PEMEX,SEDENA,SEMAR,Otras,Total
Aguascalientes,732,131,50,S.R.,0,S.R.,2,S.R.,66,981
Baja California,862,88,56,79,S.R.,S.R.,14,0,154,1 253
Baja California Sur,459,89,69,S.R.,S.R.,S.R.,8,4,S.R.,629
Campeche,393,70,22,124,0,36,0,6,28,679
Coahuila,1 325,15,80,309,1,S.R.,15,S.R.,442,2 187
Colima,397,129,21,S.R.,0,S.R.,1,6,17,571
Chiapas,1 180,100,60,451,S.R.,24,0,1,21,1 837
Chihuahua,1 302,589,69,299,S.R.,S.R.,12,S.R.,346,2 617
Distrito Federal,9 887,548,1 085,1,15,72,31,24,254,11 917
Durango,1 795,16,17,324,0,S.R.,S.R.,0,2,2 154
Guanajuato,4 957,296,126,0,S.R.,60,11,S.R.,221,5 671
Guerrero,1 857,105,170,22,S.R.,S.R.,19,8,0,2 181
Hidalgo,3 146,85,36,282,26,29,0,S.R.,28,3 632
Jalisco,3 903,1 086,69,0,0,2,1,0,960,6 021
MÃ©xico,14 694,283,221,52,356,S.R.,100,S.R.,597,16 303
MichoacÃ¡n,2 930,599,68,912,S.R.,S.R.,0,4,S.R.,4 513
Morelos,1 184,4,65,2,S.R.,S.R.,5,S.R.,S.R.,1 260
Nayarit,576,83,54,285,1,S.R.,0,1,0,1 000
Nuevo LeÃ_n,3 012,197,46,0,S.R.,35,5,S.R.,478,3 773
Oaxaca,1 208,190,164,2 286,1,54,33,22,69,4 027
Puebla,3 953,124,123,711,0,23,12,S.R.,270,5 216
QuerÃ©taro,1 142,188,98,0,5,S.R.,0,S.R.,41,1 474
Quintana Roo,1 296,291,196,S.R.,S.R.,S.R.,0,3,5,1 791
San Luis PotosÃ_,2 625,341,113,781,S.R.,9,0,S.R.,21,3 890
Sinaloa,905,120,61,279,6,0,3,4,325,1 703
Sonora,2 364,225,33,0,S.R.,S.R.,3,7,560,3 192
Tabasco,627,0,13,S.R.,S.R.,141,2,2,42,827
Tamaulipas,2 202,73,39,243,2,181,4,20,95,2 859
Tlaxcala,944,14,17,0,0,S.R.,0,S.R.,0,975
Veracruz,4 015,126,93,1 546,1,331,16,15,8,6 151
YucatÃ¡n,1 447,57,52,764,0,S.R.,6,0,10,2 336
Zacatecas,781,9,41,447,0,S.R.,6,S.R.,60,1 344
TOTAL GLOBAL,78 100,6 271,3 427,10 199,414,997,309,127,5 120,104 964
