Estado,SALUD,IMSS-Ord,ISSSTE,IMSS-Op,DIF,PEMEX,SEDENA,SEMAR,OTRAS,Total
Aguascalientes,264,168,14,S.R.,0,S.R.,0,S.R.,22,468
Baja California,308,407,34,22,S.R.,S.R.,0,1,77,849
Baja California Sur,185,88,36,S.R.,S.R.,S.R.,2,0,S.R.,311
Campeche,227,84,10,33,2,12,2,8,26,404
Coahuila,606,282,23,108,0,S.R.,1,S.R.,124,1 144
Colima,184,146,7,S.R.,0,S.R.,0,7,4,348
Chiapas,607,74,35,220,S.R.,11,0,0,5,952
Chihuahua,374,431,37,111,S.R.,S.R.,1,S.R.,148,1 102
Distrito Federal,4,734,749,623,0,3,6,23,125,6 335
Durango,789,21,25,111,0,S.R.,S.R.,0,14,960
Guanajuato,1 995,351,40,0,S.R.,28,10,S.R.,89,2 513
Guerrero,966,197,147,15,S.R.,S.R.,7,1,0,1 333
Hidalgo,1 534,95,14,113,10,15,0,S.R.,5,1 786
Jalisco,1 549,1 138,27,1,0,0,4,0,378,3 097
MÃ©xico,6 461,555,126,22,169,S.R.,65,S.R.,298,7 696
MichoacÃ¡n,1 225,390,29,307,S.R.,S.R.,0,0,S.R.,1 951
Morelos,644,56,39,1,S.R.,S.R.,0,S.R.,S.R.,740
Nayarit,257,52,33,89,2,S.R.,0,0,3,436
Nuevo LeÃ_n,1 323,532,32,0,S.R.,10,3,S.R.,211,2 111
Oaxaca,698,108,80,1 131,0,22,1,3,11,2 054
Puebla,2 220,392,47,327,0,10,0,S.R.,232,3 228
QuerÃ©taro,405,228,59,1,2,S.R.,0,S.R.,28,723
Quintana Roo,425,349,78,S.R.,S.R.,S.R.,0,6,1,859
San Luis PotosÃ_,1 238,297,55,369,S.R.,1,2,S.R.,25,1 987
Sinaloa,319,182,31,95,7,1,3,0,195,833
Sonora,1 114,257,7,0,S.R.,S.R.,1,0,144,1 523
Tabasco,368,9,16,S.R.,S.R.,56,0,0,35,484
Tamaulipas,900,293,9,92,2,64,0,10,52,1 422
Tlaxcala,405,65,17,0,0,S.R.,0,S.R.,0,487
Veracruz,1 987,157,72,606,0,162,5,14,2,3 005
YucatÃ¡n,675,190,43,357,0,S.R.,1,0,5,1 271
Zacatecas,301,30,15,196,0,S.R.,5,S.R.,0,547
TOTAL GLOBAL,35 287,8 373,1 860,4 327,197,464,119,73,2 259,52 959
