Estado,SALUD,IMSS-Ord,ISSSTE,IMSS-Op,DIF,PEMEX,SEDENA,SEMAR,OTRAS,Total
Aguascalientes,662,367,29,S.R.,0,S.R.,0,S.R.,42,1 100
Baja California,708,952,52,55,S.R.,S.R.,5,3,166,1 941
Baja California Sur,471,217,96,S.R.,S.R.,S.R.,3,0,S.R.,787
Campeche,464,206,22,74,2,26,3,17,64,878
Coahuila,1 392,677,47,212,0,S.R.,2,S.R.,305,2 635
Colima,432,352,12,S.R.,0,S.R.,0,14,12,822
Chiapas,1 365,181,76,438,S.R.,35,0,3,8,2 106
Chihuahua,877,976,93,265,S.R.,S.R.,2,S.R.,334,2 547
Distrito Federal,10 776,1 530,1 253,1,8,131,14,44,263,14 020
Durango,1 908,43,66,275,0,S.R.,S.R.,0,25,2 317
Guanajuato,4 748,905,96,1,S.R.,54,20,S.R.,231,6 055
Guerrero,2 092,408,312,32,S.R.,S.R.,18,9,0,2 871
Hidalgo,3 299,217,34,222,20,36,0,S.R.,17,3 845
Jalisco,3 726,2 804,55,2,0,0,5,2,980,7 574
MÃ©xico,14 179,1 278,232,48,388,S.R.,170,S.R.,677,16 972
MichoacÃ¡n,2 899,901,63,651,S.R.,S.R.,0,4,S.R.,4 518
Morelos,1 360,141,81,1,S.R.,S.R.,5,S.R.,S.R.,1 588
Nayarit,582,116,75,240,4,S.R.,0,1,7,1 025
Nuevo LeÃ_n,3 020,1 302,57,0,S.R.,29,6,S.R.,441,4 855
Oaxaca,1 519,226,135,2 222,3,47,2,9,23,4 186
Puebla,4 571,917,89,624,0,21,0,S.R.,466,6 688
QuerÃ©taro,1 032,553,118,1,5,S.R.,1,S.R.,59,1 769
Quintana Roo,925,798,177,S.R.,S.R.,S.R.,1,10,2,1 913
San Luis PotosÃ_,2 720,693,113,793,S.R.,3,4,S.R.,69,4 395
Sinaloa,695,394,57,243,11,1,5,2,431,1 839
Sonora,2 407,562,20,0,S.R.,S.R.,1,2,338,3 330
Tabasco,806,30,23,S.R.,S.R.,149,0,1,85,1 094
Tamaulipas,1 969,628,21,195,3,147,0,13,135,3 111
Tlaxcala,902,145,26,0,0,S.R.,0,S.R.,0,1 073
Veracruz,4 102,308,152,1 190,0,340,17,29,5,6 143
YucatÃ¡n,1 499,429,67,757,1,S.R.,2,0,11,2 766
Zacatecas,723,76,30,446,0,S.R.,14,S.R.,1,1 290
TOTAL GLOBAL,78 830,19 332,3 779,8 988,445,1 019,300,163,5 197,118 053
