Estado,Salud,IMSS-ORD,ISSSTE,IMSS-Op,DIF,PEMEX,SEDENA,SEMAR,OTRAS,total
Aguascalientes,222,237,12,S.R.,0,S.R.,0,S.R.,86,557
Baja California,305,375,23,17,S.R.,S.R.,1,0,51,772
Baja California Sur,140,84,48,S.R.,S.R.,S.R.,0,0,S.R.,272
Campeche,137,90,16,43,1,19,1,13,14,334
Coahuila,580,398,24,95,0,S.R.,1,S.R.,219,1 317
Colima,135,132,17,S.R.,0,S.R.,0,0,14,298
Chiapas,543,91,23,138,S.R.,12,0,1,6,814
Chihuahua,440,376,22,118,S.R.,S.R.,3,S.R.,179,1 138
Distrito Federal,4 941,772,546,0,4,72,6,20,113,6 474
Durango,948,95,32,115,0,S.R.,S.R.,0,0,1 190
Guanajuato,1 765,473,18,1,S.R.,24,4,S.R.,74,2 359
Guerrero,939,220,53,16,S.R.,S.R.,2,12,0,1 242
Hidalgo,1 431,113,46,118,14,31,0,S.R.,9,1 762
Jalisco,1 417,1 107,28,0,0,0,6,0,326,2 884
Mí©xico,5 992,570,113,30,216,S.R.,62,S.R.,238,7 221
Michoacíçn,1 131,346,12,163,S.R.,S.R.,0,0,S.R.,1 652
Morelos,620,145,34,0,S.R.,S.R.,1,S.R.,S.R.,800
Nayarit,217,47,23,77,2,S.R.,0,0,3,369
Nuevo Leí_n,1 467,552,32,0,S.R.,11,4,S.R.,197,2 263
Oaxaca,587,133,87,997,1,21,1,1,4,1 832
Puebla,2 024,340,89,261,0,11,0,S.R.,205,2 930
Querí©taro,435,228,60,0,1,S.R.,0,S.R.,32,756
Quintana Roo,407,267,60,S.R.,S.R.,S.R.,3,2,0,739
San Luis Potosí_,1 279,283,61,344,S.R.,1,5,S.R.,83,2 056
Sinaloa,334,164,33,93,2,0,3,0,256,885
Sonora,909,234,3,0,S.R.,S.R.,4,6,156,1 312
Tabasco,291,11,9,S.R.,S.R.,57,2,0,36,406
Tamaulipas,914,305,13,117,5,67,0,3,47,1 471
Tlaxcala,409,55,11,0,0,S.R.,0,S.R.,0,475
Veracruz,1 298,177,92,500,0,125,2,10,7,2 211
Yucatíçn,571,336,59,251,0,S.R.,0,0,0,1 217
Zacatecas,316,33,32,184,0,S.R.,4,S.R.,12,581
TOTAL GLOBAL,33 144,8 789,1 731,3 678,246,451,115,68,2 367,50 589
