Estado,Salud,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,Total
Aguascalientes,363,317,14,S.R.,0,S.R.,0,S.R.,75,769
Baja California,410,435,28,29,S.R.,S.R.,2,2,91,997
Baja California Sur,187,81,51,S.R.,S.R.,S.R.,6,0,S.R.,325
Campeche,155,113,10,32,1,15,1,5,16,348
Coahuila,724,503,26,118,0,S.R.,0,S.R.,309,1 680
Colima,178,177,8,S.R.,0,S.R.,0,1,13,377
Chiapas,696,112,26,186,S.R.,7,0,0,9,1 036
Chihuahua,538,460,18,132,S.R.,S.R.,3,S.R.,200,1 351
Distrito Federal,5 928,841,572,1,6,75,8,24,120,7 575
Durango,1 229,116,49,131,0,S.R.,S.R.,0,0,1 525
Guanajuato,2 329,568,21,2,S.R.,40,2,S.R.,140,3 102
Guerrero,1 058,220,48,11,S.R.,S.R.,11,19,0,1 367
Hidalgo,1 585,158,24,116,14,28,0,S.R.,7,1 932
Jalisco,1 971,1 581,16,0,0,0,11,2,444,4 025
MÃ©xico,7 072,728,121,21,243,S.R.,108,S.R.,360,8 653
MichoacÃ¡n,1 376,462,28,255,S.R.,S.R.,0,1,S.R.,2 122
Morelos,718,183,36,0,S.R.,S.R.,1,S.R.,S.R.,938
Nayarit,269,64,35,110,0,S.R.,0,0,5,483
Nuevo LeÃ_n,1 824,699,33,0,S.R.,13,3,S.R.,270,2 842
Oaxaca,691,150,60,935,0,45,0,3,15,1 899
Puebla,2 151,437,45,269,0,8,0,S.R.,191,3 101
QuerÃ©taro,578,373,53,0,3,S.R.,2,S.R.,36,1 045
Quintana Roo,537,326,92,S.R.,S.R.,S.R.,1,2,0,958
San Luis PotosÃ_,1 521,373,56,359,S.R.,2,2,S.R.,73,2 386
Sinaloa,417,220,27,134,8,1,3,0,363,1 173
Sonora,1 164,299,3,0,S.R.,S.R.,4,5,184,1 659
Tabasco,319,10,7,S.R.,S.R.,67,0,1,49,453
Tamaulipas,1 023,383,14,128,4,98,0,2,57,1 709
Tlaxcala,455,57,8,0,0,S.R.,0,S.R.,0,520
Veracruz,1 467,252,70,502,0,159,6,21,6,2 483
YucatÃ¡n,719,328,42,293,0,S.R.,0,0,1,1 383
Zacatecas,373,44,38,254,0,S.R.,4,S.R.,11,724
TOTAL GLOBAL,40 025,11 070,1 679,4 018,279,558,178,88,3 045,60 940
